Število goveda po: KOHEZIJSKA REGIJA, VRSTA GOVEDA , LETO;;;;;;;;
;;;;;;;;
 ;2007;2008;2009;2010;2011;2012;2013;povreèje EU (34 držav)
MLADO GOVEDO (1 do 2 leti) - SKUPAJ;37858;38668;38806;37785;36756;36915;37428;-
mlado govedo (1 do 2 leti), plemenske telice - SKUPAJ;15581;15939;17114;16850;16574;15328;15774;-
mlado govedo (1 do 2 leti), plemenske telice - breje;6460;7191;7112;6943;7147;6228;6636;-
mlado govedo (1 do 2 leti), plemenske telice - nebreje;9121;8748;10002;9907;9427;9100;9138;-
mlado govedo (1 do 2 leti), telice za pitanje;2355;2703;1888;1804;1984;2841;2846;-
mlado govedo (1 do 2 leti), biki, voli;19922;20026;19804;19131;18198;18746;18808;-
GOVEDO nad 2 leti - SKUPAJ;66287;66517;66839;66745;65337;64396;64633;-
govedo nad 2 leti, plemenske telice - SKUPAJ;6840;6600;6928;7158;6973;6332;6708;-
govedo nad 2 leti, plemenske telice - breje;5145;5761;4763;5233;5518;5283;5308;-
govedo nad 2 leti, plemenske telice - nebreje;1696;839;2165;1925;1455;1049;1400;-
govedo nad 2 leti, telice za pitanje;379;409;651;459;433;925;662;-
govedo nad 2 leti, krave SKUPAJ;56682;57290;56882;56969;56075;55287;54790;-
govedo nad 2 leti, krave molznice;37139;34401;37128;35745;33932;34270;35999;-
govedo nad 2 leti, druge krave;19543;22889;19754;21224;22143;21017;18791;-
govedo nad 2 leti, plemenski biki;400;814;822;695;850;1025;1119;-
govedo nad 2 leti, biki in voli za pitanje;1986;1404;1556;1464;1006;827;1354;-
